Date,Steps,Distance,Floors Ascended
05/12/22,8503,5.3,19
04/12/22,5077,3.2,16
03/12/22,8468,5.4,21
02/12/22,4899,3.1,15
01/12/22,5989,3.8,14
30/11/22,6771,4.2,12
29/11/22,6603,4.3,20
28/11/22,10066,6.4,19
27/11/22,9293,5.9,30
26/11/22,3579,2.3,13
25/11/22,5431,3.5,17
24/11/22,6333,4.2,12
23/11/22,5826,3.8,15
22/11/22,8246,5.1,10
21/11/22,8669,5.4,17
20/11/22,3988,2.5,12
19/11/22,8236,5.4,17
18/11/22,9533,6.3,14
17/11/22,1921,1.2,7
16/11/22,11184,7.0,20
15/11/22,3374,2.2,10
14/11/22,11578,7.3,27
13/11/22,12621,8.1,23
12/11/22,8246,5.0,16
11/11/22,3091,1.8,9
10/11/22,9455,6.0,26
09/11/22,10624,6.7,22
08/11/22,5030,3.3,14
07/11/22,8310,5.3,13
06/11/22,13652,9.2,18
05/11/22,9484,6.1,25
04/11/22,9836,6.2,14
03/11/22,6264,4.0,17
02/11/22,5522,3.5,14
01/11/22,4603,2.8,2
31/10/22,6499,4.0,7
30/10/22,7954,4.9,18
29/10/22,14960,9.6,8
28/10/22,7487,4.7,12
27/10/22,4568,2.8,4
26/10/22,3068,1.9,2
25/10/22,4177,2.8,2
24/10/22,7690,4.5,9
23/10/22,8724,5.3,15
22/10/22,13174,8.1,16
21/10/22,7082,4.6,18
20/10/22,9660,6.1,18
19/10/22,16870,10.3,17
18/10/22,13842,8.5,15
17/10/22,8338,4.9,10
16/10/22,7157,4.4,5
15/10/22,7179,4.4,3
14/10/22,11601,7.5,23
13/10/22,11459,7.2,18
12/10/22,8636,5.6,18
11/10/22,11352,7.1,16
10/10/22,7604,4.7,10
09/10/22,8693,5.5,14
08/10/22,9311,5.9,18
07/10/22,10392,6.7,17
06/10/22,7007,4.4,15
05/10/22,10744,6.7,19
04/10/22,15771,10.6,33
03/10/22,10794,6.8,13
02/10/22,4595,2.9,18
01/10/22,13602,8.4,21
30/09/22,9991,6.2,16
29/09/22,9214,5.7,19
28/09/22,8399,5.3,19
27/09/22,7850,4.9,14
26/09/22,10243,6.7,26
25/09/22,5663,3.6,9
24/09/22,6953,4.3,11
23/09/22,9838,6.3,28
22/09/22,9843,6.3,21
21/09/22,4930,3.0,0
20/09/22,8135,5.1,15
19/09/22,7037,4.5,18
18/09/22,5297,3.4,17
17/09/22,10854,6.8,15
16/09/22,4697,3.0,14
15/09/22,7512,4.7,16
14/09/22,7132,4.6,19
13/09/22,9673,5.9,6
12/09/22,10048,6.3,20
11/09/22,10641,6.7,22
10/09/22,2851,1.8,10
09/09/22,6001,3.8,14
08/09/22,13401,8.5,18
07/09/22,10820,6.7,16
06/09/22,11967,7.6,20
05/09/22,5813,3.4,17
04/09/22,13081,7.6,12
03/09/22,4591,3.0,15
02/09/22,8255,5.1,11
01/09/22,7218,4.6,12
31/08/22,8236,5.3,24
30/08/22,12020,7.1,12
29/08/22,6824,4.3,10
28/08/22,6507,4.0,15
27/08/22,7713,5.0,15
26/08/22,7304,4.5,15
25/08/22,12588,7.7,22
24/08/22,14891,9.1,16
23/08/22,8157,5.1,19
22/08/22,15260,10.0,15
21/08/22,6820,4.4,18
20/08/22,5648,3.4,11
19/08/22,5454,3.3,8
18/08/22,5013,3.2,7
17/08/22,8779,5.3,17
16/08/22,6728,4.2,9
15/08/22,4873,3.2,12
14/08/22,6917,4.3,15
13/08/22,6681,4.3,8
12/08/22,10060,6.1,13
11/08/22,4206,2.6,8
10/08/22,7899,5.0,18
09/08/22,6500,4.2,9
08/08/22,9169,5.8,15
07/08/22,7326,4.7,10
06/08/22,11249,6.8,15
05/08/22,6279,4.4,6
04/08/22,0,0.0,0
03/08/22,0,0.0,0
02/08/22,0,0.0,0
01/08/22,0,0.0,0
